index,season,episode,episode_num,rank,missc,contestant,outcome,eliminated,participant,minichalw,finale,penultimate
1,S01,1,S01E1,1,0,BeBe Zahara Benet,SAFE,0,1,0,0,0
2,S01,1,S01E1,2,1,Nina Flowers,WIN,0,1,0,0,0
3,S01,1,S01E1,3,0,Rebecca Glasscock,LOW,0,1,0,0,0
4,S01,1,S01E1,4,0,Shannel,SAFE,0,1,0,0,0
5,S01,1,S01E1,5,0,Ongina,HIGH,0,1,0,0,0
6,S01,1,S01E1,6,0,Jade,SAFE,0,1,0,0,0
7,S01,1,S01E1,7,0,Akashia,BTM,0,1,0,0,0
8,S01,1,S01E1,8,0,Tammie Brown,SAFE,0,1,0,0,0
9,S01,1,S01E1,9,0,Victoria (Porkchop) Parker,BTM,1,1,0,0,0
10,S01,2,S01E2,1,0,BeBe Zahara Benet,SAFE,0,1,0,0,0
11,S01,2,S01E2,2,1,Nina Flowers,SAFE,0,1,0,0,0
12,S01,2,S01E2,3,0,Rebecca Glasscock,SAFE,0,1,0,0,0
13,S01,2,S01E2,4,0,Shannel,SAFE,0,1,0,0,0
14,S01,2,S01E2,5,0,Ongina,WIN,0,1,0,0,0
15,S01,2,S01E2,6,0,Jade,SAFE,0,1,0,0,0
16,S01,2,S01E2,7,0,Akashia,BTM,0,1,0,0,0
17,S01,2,S01E2,8,0,Tammie Brown,BTM,1,1,0,0,0
18,S01,2,S01E2,9,0,Victoria (Porkchop) Parker,NA,NA,0,NA,0,0
19,S01,3,S01E3,1,0,BeBe Zahara Benet,WIN,0,1,0,0,0
20,S01,3,S01E3,2,1,Nina Flowers,HIGH,0,1,0,0,0
21,S01,3,S01E3,3,0,Rebecca Glasscock,HIGH,0,1,0,0,0
22,S01,3,S01E3,4,0,Shannel,BTM,0,1,0,0,0
23,S01,3,S01E3,5,0,Ongina,HIGH,0,1,0,0,0
24,S01,3,S01E3,6,0,Jade,LOW,0,1,0,0,0
25,S01,3,S01E3,7,0,Akashia,BTM,1,1,0,0,0
26,S01,3,S01E3,8,0,Tammie Brown,NA,NA,0,NA,0,0
27,S01,3,S01E3,9,0,Victoria (Porkchop) Parker,NA,NA,0,NA,0,0
28,S01,4,S01E4,1,0,BeBe Zahara Benet,HIGH,0,1,0,0,0
29,S01,4,S01E4,2,1,Nina Flowers,HIGH,0,1,0,0,0
30,S01,4,S01E4,3,0,Rebecca Glasscock,BTM,0,1,0,0,0
31,S01,4,S01E4,4,0,Shannel,LOW,0,1,0,0,0
32,S01,4,S01E4,5,0,Ongina,WIN,0,1,0,0,0
33,S01,4,S01E4,6,0,Jade,BTM,0,1,1,0,0
34,S01,4,S01E4,7,0,Akashia,NA,NA,0,NA,0,0
35,S01,4,S01E4,8,0,Tammie Brown,NA,NA,0,NA,0,0
36,S01,4,S01E4,9,0,Victoria (Porkchop) Parker,NA,NA,0,NA,0,0
37,S01,5,S01E5,1,0,BeBe Zahara Benet,BTM,0,1,0,0,0
38,S01,5,S01E5,2,1,Nina Flowers,LOW,0,1,0,0,0
39,S01,5,S01E5,3,0,Rebecca Glasscock,WIN,0,1,1,0,0
40,S01,5,S01E5,4,0,Shannel,HIGH,0,1,0,0,0
41,S01,5,S01E5,5,0,Ongina,BTM,1,1,0,0,0
42,S01,5,S01E5,6,0,Jade,NA,NA,0,NA,0,0
43,S01,5,S01E5,7,0,Akashia,NA,NA,0,NA,0,0
44,S01,5,S01E5,8,0,Tammie Brown,NA,NA,0,NA,0,0
45,S01,5,S01E5,9,0,Victoria (Porkchop) Parker,NA,NA,0,NA,0,0
46,S01,6,S01E6,1,0,BeBe Zahara Benet,WIN,0,1,0,0,0
47,S01,6,S01E6,2,1,Nina Flowers,HIGH,0,1,1,0,0
48,S01,6,S01E6,3,0,Rebecca Glasscock,BTM,0,1,0,0,0
49,S01,6,S01E6,4,0,Shannel,BTM,1,1,0,0,0
50,S01,6,S01E6,5,0,Ongina,NA,NA,0,NA,0,0
51,S01,6,S01E6,6,0,Jade,NA,NA,0,NA,0,0
52,S01,6,S01E6,7,0,Akashia,NA,NA,0,NA,0,0
53,S01,6,S01E6,8,0,Tammie Brown,NA,NA,0,NA,0,0
54,S01,6,S01E6,9,0,Victoria (Porkchop) Parker,NA,NA,0,NA,0,0
55,S01,8,S01E8,1,0,BeBe Zahara Benet,WIN,0,1,0,1,0
56,S01,8,S01E8,2,1,Nina Flowers,HIGH,0,1,0,1,0
57,S01,8,S01E8,3,0,Rebecca Glasscock,BTM,1,1,0,1,0
58,S01,8,S01E8,4,0,Shannel,NA,NA,0,NA,1,0
59,S01,8,S01E8,5,0,Ongina,NA,NA,0,NA,1,0
60,S01,8,S01E8,6,0,Jade,NA,NA,0,NA,1,0
61,S01,8,S01E8,7,0,Akashia,NA,NA,0,NA,1,0
62,S01,8,S01E8,8,0,Tammie Brown,NA,NA,0,NA,1,0
63,S01,8,S01E8,9,0,Victoria (Porkchop) Parker,NA,NA,0,NA,1,0
64,S02,1,S02E1,1,0,Tyra Sanchez,HIGH,0,1,0,0,0
65,S02,1,S02E1,2,0,Raven,SAFE,0,1,1,0,0
66,S02,1,S02E1,3,0,Jujubee,SAFE,0,1,0,0,0
67,S02,1,S02E1,4,0,Tatianna,SAFE,0,1,0,0,0
68,S02,1,S02E1,5,1,Pandora Boxx,HIGH,0,1,0,0,0
69,S02,1,S02E1,6,0,Jessica Wild,SAFE,0,1,0,0,0
70,S02,1,S02E1,7,0,Sahara Davenport,BTM,0,1,0,0,0
71,S02,1,S02E1,8,0,Morgan McMichaels,WIN,0,1,0,0,0
72,S02,1,S02E1,9,0,Sonique,SAFE,0,1,0,0,0
73,S02,1,S02E1,10,0,Mystique Summers Madison,LOW,0,1,0,0,0
74,S02,1,S02E1,11,0,Nicole Paige Brooks,SAFE,0,1,0,0,0
75,S02,1,S02E1,12,0,Shangela,BTM,1,1,0,0,0
76,S02,2,S02E2,1,0,Tyra Sanchez,SAFE,0,1,0,0,0
77,S02,2,S02E2,2,0,Raven,BTM,0,1,0,0,0
78,S02,2,S02E2,3,0,Jujubee,SAFE,0,1,0,0,0
79,S02,2,S02E2,4,0,Tatianna,SAFE,0,1,0,0,0
80,S02,2,S02E2,5,1,Pandora Boxx,SAFE,0,1,0,0,0
81,S02,2,S02E2,6,0,Jessica Wild,SAFE,0,1,0,0,0
82,S02,2,S02E2,7,0,Sahara Davenport,WIN,0,1,0,0,0
83,S02,2,S02E2,8,0,Morgan McMichaels,SAFE,0,1,0,0,0
84,S02,2,S02E2,9,0,Sonique,LOW,0,1,0,0,0
85,S02,2,S02E2,10,0,Mystique Summers Madison,SAFE,0,1,0,0,0
86,S02,2,S02E2,11,0,Nicole Paige Brooks,BTM,1,1,0,0,0
87,S02,2,S02E2,12,0,Shangela,NA,NA,0,NA,0,0
88,S02,3,S02E3,1,0,Tyra Sanchez,WIN,0,1,0,0,0
89,S02,3,S02E3,2,0,Raven,BTM,0,1,0,0,0
90,S02,3,S02E3,3,0,Jujubee,SAFE,0,1,0,0,0
91,S02,3,S02E3,4,0,Tatianna,SAFE,0,1,0,0,0
92,S02,3,S02E3,5,1,Pandora Boxx,HIGH,0,1,0,0,0
93,S02,3,S02E3,6,0,Jessica Wild,HIGH,0,1,0,0,0
94,S02,3,S02E3,7,0,Sahara Davenport,SAFE,0,1,0,0,0
95,S02,3,S02E3,8,0,Morgan McMichaels,SAFE,0,1,0,0,0
96,S02,3,S02E3,9,0,Sonique,SAFE,0,1,0,0,0
97,S02,3,S02E3,10,0,Mystique Summers Madison,BTM,0,1,0,0,0
98,S02,3,S02E3,11,0,Nicole Paige Brooks,NA,NA,0,NA,0,0
99,S02,3,S02E3,12,0,Shangela,NA,NA,0,NA,0,0
100,S02,4,S02E4,1,0,Tyra Sanchez,SAFE,0,1,0,0,0
101,S02,4,S02E4,2,0,Raven,SAFE,0,1,1,0,0
102,S02,4,S02E4,3,0,Jujubee,LOW,0,1,0,0,0
103,S02,4,S02E4,4,0,Tatianna,WIN,0,1,0,0,0
104,S02,4,S02E4,5,1,Pandora Boxx,HIGH,0,1,0,0,0
105,S02,4,S02E4,6,0,Jessica Wild,SAFE,0,1,0,0,0
106,S02,4,S02E4,7,0,Sahara Davenport,SAFE,0,1,0,0,0
107,S02,4,S02E4,8,0,Morgan McMichaels,BTM,0,1,0,0,0
108,S02,4,S02E4,9,0,Sonique,BTM,1,1,0,0,0
109,S02,4,S02E4,10,0,Mystique Summers Madison,NA,NA,0,NA,0,0
110,S02,4,S02E4,11,0,Nicole Paige Brooks,NA,NA,0,NA,0,0
111,S02,4,S02E4,12,0,Shangela,NA,NA,0,NA,0,0
112,S02,5,S02E5,1,0,Tyra Sanchez,WIN,0,1,0,0,0
113,S02,5,S02E5,2,0,Raven,HIGH,0,1,1,0,0
114,S02,5,S02E5,3,0,Jujubee,HIGH,0,1,0,0,0
115,S02,5,S02E5,4,0,Tatianna,LOW,0,1,0,0,0
116,S02,5,S02E5,5,1,Pandora Boxx,SAFE,0,1,0,0,0
117,S02,5,S02E5,6,0,Jessica Wild,HIGH,0,1,0,0,0
118,S02,5,S02E5,7,0,Sahara Davenport,BTM,0,1,0,0,0
119,S02,5,S02E5,8,0,Morgan McMichaels,BTM,1,1,0,0,0
120,S02,5,S02E5,9,0,Sonique,NA,NA,0,NA,0,0
121,S02,5,S02E5,10,0,Mystique Summers Madison,NA,NA,0,NA,0,0
122,S02,5,S02E5,11,0,Nicole Paige Brooks,NA,NA,0,NA,0,0
123,S02,5,S02E5,12,0,Shangela,NA,NA,0,NA,0,0
124,S02,6,S02E6,1,0,Tyra Sanchez,LOW,0,1,0,0,0
125,S02,6,S02E6,2,0,Raven,HIGH,0,1,0,0,0
126,S02,6,S02E6,3,0,Jujubee,BTM,0,1,0,0,0
127,S02,6,S02E6,4,0,Tatianna,SAFE,0,1,0,0,0
128,S02,6,S02E6,5,1,Pandora Boxx,HIGH,0,1,1,0,0
129,S02,6,S02E6,6,0,Jessica Wild,WIN,0,1,0,0,0
130,S02,6,S02E6,7,0,Sahara Davenport,BTM,1,1,0,0,0
131,S02,6,S02E6,8,0,Morgan McMichaels,NA,NA,0,NA,0,0
132,S02,6,S02E6,9,0,Sonique,NA,NA,0,NA,0,0
133,S02,6,S02E6,10,0,Mystique Summers Madison,NA,NA,0,NA,0,0
134,S02,6,S02E6,11,0,Nicole Paige Brooks,NA,NA,0,NA,0,0
135,S02,6,S02E6,12,0,Shangela,NA,NA,0,NA,0,0
136,S02,7,S02E7,1,0,Tyra Sanchez,SAFE,0,1,0,0,0
137,S02,7,S02E7,2,0,Raven,WIN,0,1,0,0,0
138,S02,7,S02E7,3,0,Jujubee,HIGH,0,1,1,0,0
139,S02,7,S02E7,4,0,Tatianna,BTM,0,1,0,0,0
140,S02,7,S02E7,5,1,Pandora Boxx,LOW,0,1,0,0,0
141,S02,7,S02E7,6,0,Jessica Wild,BTM,1,1,0,0,0
142,S02,7,S02E7,7,0,Sahara Davenport,NA,NA,0,NA,0,0
143,S02,7,S02E7,8,0,Morgan McMichaels,NA,NA,0,NA,0,0
144,S02,7,S02E7,9,0,Sonique,NA,NA,0,NA,0,0
145,S02,7,S02E7,10,0,Mystique Summers Madison,NA,NA,0,NA,0,0
146,S02,7,S02E7,11,0,Nicole Paige Brooks,NA,NA,0,NA,0,0
147,S02,7,S02E7,12,0,Shangela,NA,NA,0,NA,0,0
148,S02,8,S02E8,1,0,Tyra Sanchez,HIGH,0,1,0,0,0
149,S02,8,S02E8,2,0,Raven,WIN,0,1,0,0,0
150,S02,8,S02E8,3,0,Jujubee,BTM,0,1,0,0,0
151,S02,8,S02E8,4,0,Tatianna,HIGH,0,1,1,0,0
152,S02,8,S02E8,5,1,Pandora Boxx,BTM,1,1,0,0,0
153,S02,8,S02E8,6,0,Jessica Wild,NA,NA,0,NA,0,0
154,S02,8,S02E8,7,0,Sahara Davenport,NA,NA,0,NA,0,0
155,S02,8,S02E8,8,0,Morgan McMichaels,NA,NA,0,NA,0,0
156,S02,8,S02E8,9,0,Sonique,NA,NA,0,NA,0,0
157,S02,8,S02E8,10,0,Mystique Summers Madison,NA,NA,0,NA,0,0
158,S02,8,S02E8,11,0,Nicole Paige Brooks,NA,NA,0,NA,0,0
159,S02,8,S02E8,12,0,Shangela,NA,NA,0,NA,0,0
160,S02,9,S02E9,1,0,Tyra Sanchez,WIN,0,1,1,0,0
161,S02,9,S02E9,2,0,Raven,HIGH,0,1,0,0,0
162,S02,9,S02E9,3,0,Jujubee,BTM,0,1,0,0,0
163,S02,9,S02E9,4,0,Tatianna,BTM,1,1,0,0,0
164,S02,9,S02E9,5,1,Pandora Boxx,NA,NA,0,NA,0,0
165,S02,9,S02E9,6,0,Jessica Wild,NA,NA,0,NA,0,0
166,S02,9,S02E9,7,0,Sahara Davenport,NA,NA,0,NA,0,0
167,S02,9,S02E9,8,0,Morgan McMichaels,NA,NA,0,NA,0,0
168,S02,9,S02E9,9,0,Sonique,NA,NA,0,NA,0,0
169,S02,9,S02E9,10,0,Mystique Summers Madison,NA,NA,0,NA,0,0
170,S02,9,S02E9,11,0,Nicole Paige Brooks,NA,NA,0,NA,0,0
171,S02,9,S02E9,12,0,Shangela,NA,NA,0,NA,0,0
172,S02,11,S02E11,1,0,Tyra Sanchez,WIN,0,1,0,1,0
173,S02,11,S02E11,2,0,Raven,HIGH,0,1,0,1,0
174,S02,11,S02E11,3,0,Jujubee,BTM,0,1,0,1,0
175,S02,11,S02E11,4,0,Tatianna,NA,NA,0,NA,1,0
176,S02,11,S02E11,5,1,Pandora Boxx,NA,NA,0,NA,1,0
177,S02,11,S02E11,6,0,Jessica Wild,NA,NA,0,NA,1,0
178,S02,11,S02E11,7,0,Sahara Davenport,NA,NA,0,NA,1,0
179,S02,11,S02E11,8,0,Morgan McMichaels,NA,NA,0,NA,1,0
180,S02,11,S02E11,9,0,Sonique,NA,NA,0,NA,1,0
181,S02,11,S02E11,10,0,Mystique Summers Madison,NA,NA,0,NA,1,0
182,S02,11,S02E11,11,0,Nicole Paige Brooks,NA,NA,0,NA,1,0
183,S02,11,S02E11,12,0,Shangela,NA,NA,0,NA,1,0
184,S03,2,S03E2,1,0,Raja,WIN,0,1,1,0,0
185,S03,2,S03E2,2,0,Manila Luzon,HIGH,0,1,0,0,0
186,S03,2,S03E2,3,0,Alexis Mateo,SAFE,0,1,0,0,0
187,S03,2,S03E2,4,1,Yara Sofia,SAFE,0,1,0,0,0
188,S03,2,S03E2,5,0,Carmen Carrera,LOW,0,1,0,0,0
189,S03,2,S03E2,6,0,Shangela,BTM,0,1,0,0,0
190,S03,2,S03E2,7,0,Delta Work,SAFE,0,1,0,0,0
191,S03,2,S03E2,8,0,Stacy Layne Matthews,SAFE,0,1,0,0,0
192,S03,2,S03E2,9,0,Mariah,SAFE,0,1,0,0,0
193,S03,2,S03E2,10,0,India Ferrah,SAFE,0,1,0,0,0
194,S03,2,S03E2,11,0,Mimi Imfurst,HIGH,0,1,0,0,0
195,S03,2,S03E2,12,0,Phoenix,SAFE,0,1,0,0,0
196,S03,2,S03E2,13,0,Venus D-Lite,BTM,1,1,0,0,0
197,S03,3,S03E3,1,0,Raja,SAFE,0,1,0,0,0
198,S03,3,S03E3,2,0,Manila Luzon,SAFE,0,1,0,0,0
199,S03,3,S03E3,3,0,Alexis Mateo,WIN,0,1,0,0,0
200,S03,3,S03E3,4,1,Yara Sofia,SAFE,0,1,0,0,0
201,S03,3,S03E3,5,0,Carmen Carrera,LOW,0,1,0,0,0
202,S03,3,S03E3,6,0,Shangela,WIN,0,1,0,0,0
203,S03,3,S03E3,7,0,Delta Work,BTM,0,1,0,0,0
204,S03,3,S03E3,8,0,Stacy Layne Matthews,SAFE,0,1,0,0,0
205,S03,3,S03E3,9,0,Mariah,SAFE,0,1,0,0,0
206,S03,3,S03E3,10,0,India Ferrah,SAFE,0,1,0,0,0
207,S03,3,S03E3,11,0,Mimi Imfurst,SAFE,0,1,0,0,0
208,S03,3,S03E3,12,0,Phoenix,BTM,0,1,0,0,0
209,S03,3,S03E3,13,0,Venus D-Lite,NA,NA,0,NA,0,0
210,S03,4,S03E4,1,0,Raja,SAFE,0,1,0,0,0
211,S03,4,S03E4,2,0,Manila Luzon,SAFE,0,1,0,0,0
212,S03,4,S03E4,3,0,Alexis Mateo,WIN,0,1,0,0,0
213,S03,4,S03E4,4,1,Yara Sofia,HIGH,0,1,0,0,0
214,S03,4,S03E4,5,0,Carmen Carrera,SAFE,0,1,0,0,0
215,S03,4,S03E4,6,0,Shangela,SAFE,0,1,0,0,0
216,S03,4,S03E4,7,0,Delta Work,SAFE,0,1,0,0,0
217,S03,4,S03E4,8,0,Stacy Layne Matthews,HIGH,0,1,0,0,0
218,S03,4,S03E4,9,0,Mariah,LOW,0,1,0,0,0
219,S03,4,S03E4,10,0,India Ferrah,BTM,0,1,0,0,0
220,S03,4,S03E4,11,0,Mimi Imfurst,BTM,1,1,0,0,0
221,S03,4,S03E4,12,0,Phoenix,NA,NA,0,NA,0,0
222,S03,4,S03E4,13,0,Venus D-Lite,NA,NA,0,NA,0,0
223,S03,5,S03E5,1,0,Raja,SAFE,0,1,0,0,0
224,S03,5,S03E5,2,0,Manila Luzon,WIN,0,1,0,0,0
225,S03,5,S03E5,3,0,Alexis Mateo,SAFE,0,1,0,0,0
226,S03,5,S03E5,4,1,Yara Sofia,SAFE,0,1,0,0,0
227,S03,5,S03E5,5,0,Carmen Carrera,SAFE,0,1,0,0,0
228,S03,5,S03E5,6,0,Shangela,HIGH,0,1,0,0,0
229,S03,5,S03E5,7,0,Delta Work,SAFE,0,1,0,0,0
230,S03,5,S03E5,8,0,Stacy Layne Matthews,BTM,0,1,0,0,0
231,S03,5,S03E5,9,0,Mariah,LOW,0,1,0,0,0
232,S03,5,S03E5,10,0,India Ferrah,BTM,1,1,0,0,0
233,S03,5,S03E5,11,0,Mimi Imfurst,NA,NA,0,NA,0,0
234,S03,5,S03E5,12,0,Phoenix,NA,NA,0,NA,0,0
235,S03,5,S03E5,13,0,Venus D-Lite,NA,NA,0,NA,0,0
236,S03,6,S03E6,1,0,Raja,HIGH,0,1,0,0,0
237,S03,6,S03E6,2,0,Manila Luzon,SAFE,0,1,0,0,0
238,S03,6,S03E6,3,0,Alexis Mateo,HIGH,0,1,0,0,0
239,S03,6,S03E6,4,1,Yara Sofia,LOW,0,1,0,0,0
240,S03,6,S03E6,5,0,Carmen Carrera,SAFE,0,1,0,0,0
241,S03,6,S03E6,6,0,Shangela,SAFE,0,1,0,0,0
242,S03,6,S03E6,7,0,Delta Work,BTM,0,1,0,0,0
243,S03,6,S03E6,8,0,Stacy Layne Matthews,WIN,0,1,0,0,0
244,S03,6,S03E6,9,0,Mariah,BTM,1,1,0,0,0
245,S03,6,S03E6,10,0,India Ferrah,NA,NA,0,NA,0,0
246,S03,6,S03E6,11,0,Mimi Imfurst,NA,NA,0,NA,0,0
247,S03,6,S03E6,12,0,Phoenix,NA,NA,0,NA,0,0
248,S03,6,S03E6,13,0,Venus D-Lite,NA,NA,0,NA,0,0
249,S03,7,S03E7,1,0,Raja,WIN,0,1,0,0,0
250,S03,7,S03E7,2,0,Manila Luzon,HIGH,0,1,0,0,0
251,S03,7,S03E7,3,0,Alexis Mateo,BTM,0,1,0,0,0
252,S03,7,S03E7,4,1,Yara Sofia,HIGH,0,1,0,0,0
253,S03,7,S03E7,5,0,Carmen Carrera,LOW,0,1,1,0,0
254,S03,7,S03E7,6,0,Shangela,LOW,0,1,0,0,0
255,S03,7,S03E7,7,0,Delta Work,HIGH,0,1,0,0,0
256,S03,7,S03E7,8,0,Stacy Layne Matthews,BTM,1,1,0,0,0
257,S03,7,S03E7,9,0,Mariah,NA,NA,0,NA,0,0
258,S03,7,S03E7,10,0,India Ferrah,NA,NA,0,NA,0,0
259,S03,7,S03E7,11,0,Mimi Imfurst,NA,NA,0,NA,0,0
260,S03,7,S03E7,12,0,Phoenix,NA,NA,0,NA,0,0
261,S03,7,S03E7,13,0,Venus D-Lite,NA,NA,0,NA,0,0
262,S03,8,S03E8,1,0,Raja,HIGH,0,1,0,0,0
263,S03,8,S03E8,2,0,Manila Luzon,BTM,0,1,0,0,0
264,S03,8,S03E8,3,0,Alexis Mateo,LOW,0,1,0,0,0
265,S03,8,S03E8,4,1,Yara Sofia,HIGH,0,1,0,0,0
266,S03,8,S03E8,5,0,Carmen Carrera,HIGH,0,1,0,0,0
267,S03,8,S03E8,6,0,Shangela,WIN,0,1,1,0,0
268,S03,8,S03E8,7,0,Delta Work,BTM,1,1,0,0,0
269,S03,8,S03E8,8,0,Stacy Layne Matthews,NA,NA,0,NA,0,0
270,S03,8,S03E8,9,0,Mariah,NA,NA,0,NA,0,0
271,S03,8,S03E8,10,0,India Ferrah,NA,NA,0,NA,0,0
272,S03,8,S03E8,11,0,Mimi Imfurst,NA,NA,0,NA,0,0
273,S03,8,S03E8,12,0,Phoenix,NA,NA,0,NA,0,0
274,S03,8,S03E8,13,0,Venus D-Lite,NA,NA,0,NA,0,0
275,S03,9,S03E9,1,0,Raja,LOW,0,1,0,0,0
276,S03,9,S03E9,2,0,Manila Luzon,LOW,0,1,1,0,0
277,S03,9,S03E9,3,0,Alexis Mateo,WIN,0,1,0,0,0
278,S03,9,S03E9,4,1,Yara Sofia,BTM,0,1,0,0,0
279,S03,9,S03E9,5,0,Carmen Carrera,BTM,0,1,0,0,0
280,S03,9,S03E9,6,0,Shangela,SAFE,0,1,0,0,0
281,S03,9,S03E9,7,0,Delta Work,NA,NA,0,NA,0,0
282,S03,9,S03E9,8,0,Stacy Layne Matthews,NA,NA,0,NA,0,0
283,S03,9,S03E9,9,0,Mariah,NA,NA,0,NA,0,0
284,S03,9,S03E9,10,0,India Ferrah,NA,NA,0,NA,0,0
285,S03,9,S03E9,11,0,Mimi Imfurst,NA,NA,0,NA,0,0
286,S03,9,S03E9,12,0,Phoenix,NA,NA,0,NA,0,0
287,S03,9,S03E9,13,0,Venus D-Lite,NA,NA,0,NA,0,0
288,S03,10,S03E10,1,0,Raja,WIN,0,1,0,0,0
289,S03,10,S03E10,2,0,Manila Luzon,HIGH,0,1,1,0,0
290,S03,10,S03E10,3,0,Alexis Mateo,LOW,0,1,0,0,0
291,S03,10,S03E10,4,1,Yara Sofia,HIGH,0,1,0,0,0
292,S03,10,S03E10,5,0,Carmen Carrera,BTM,1,1,0,0,0
293,S03,10,S03E10,6,0,Shangela,BTM,0,1,0,0,0
294,S03,10,S03E10,7,0,Delta Work,NA,NA,0,NA,0,0
295,S03,10,S03E10,8,0,Stacy Layne Matthews,NA,NA,0,NA,0,0
296,S03,10,S03E10,9,0,Mariah,NA,NA,0,NA,0,0
297,S03,10,S03E10,10,0,India Ferrah,NA,NA,0,NA,0,0
298,S03,10,S03E10,11,0,Mimi Imfurst,NA,NA,0,NA,0,0
299,S03,10,S03E10,12,0,Phoenix,NA,NA,0,NA,0,0
300,S03,10,S03E10,13,0,Venus D-Lite,NA,NA,0,NA,0,0
301,S03,11,S03E11,1,0,Raja,HIGH,0,1,1,0,0
302,S03,11,S03E11,2,0,Manila Luzon,HIGH,0,1,0,0,0
303,S03,11,S03E11,3,0,Alexis Mateo,BTM,0,1,0,0,0
304,S03,11,S03E11,4,1,Yara Sofia,WIN,0,1,0,0,0
305,S03,11,S03E11,5,0,Carmen Carrera,NA,NA,0,NA,0,0
306,S03,11,S03E11,6,0,Shangela,BTM,1,1,0,0,0
307,S03,11,S03E11,7,0,Delta Work,NA,NA,0,NA,0,0
308,S03,11,S03E11,8,0,Stacy Layne Matthews,NA,NA,0,NA,0,0
309,S03,11,S03E11,9,0,Mariah,NA,NA,0,NA,0,0
310,S03,11,S03E11,10,0,India Ferrah,NA,NA,0,NA,0,0
311,S03,11,S03E11,11,0,Mimi Imfurst,NA,NA,0,NA,0,0
312,S03,11,S03E11,12,0,Phoenix,NA,NA,0,NA,0,0
313,S03,11,S03E11,13,0,Venus D-Lite,NA,NA,0,NA,0,0
314,S03,12,S03E12,1,0,Raja,BTM,0,1,0,0,0
315,S03,12,S03E12,2,0,Manila Luzon,WIN,0,1,0,0,0
316,S03,12,S03E12,3,0,Alexis Mateo,HIGH,0,1,1,0,0
317,S03,12,S03E12,4,1,Yara Sofia,LOW,0,1,0,0,0
318,S03,12,S03E12,5,0,Carmen Carrera,BTM,1,1,0,0,0
319,S03,12,S03E12,6,0,Shangela,NA,NA,0,NA,0,0
320,S03,12,S03E12,7,0,Delta Work,NA,NA,0,NA,0,0
321,S03,12,S03E12,8,0,Stacy Layne Matthews,NA,NA,0,NA,0,0
322,S03,12,S03E12,9,0,Mariah,NA,NA,0,NA,0,0
323,S03,12,S03E12,10,0,India Ferrah,NA,NA,0,NA,0,0
324,S03,12,S03E12,11,0,Mimi Imfurst,NA,NA,0,NA,0,0
325,S03,12,S03E12,12,0,Phoenix,NA,NA,0,NA,0,0
326,S03,12,S03E12,13,0,Venus D-Lite,NA,NA,0,NA,0,0
