index,season,episode,episode_num,rank,missc,contestant,outcome,eliminated,participant,minichalw,finale,penultimate
327,S03,13,S03E13,1,0,Raja,HIGH,0,1,0,0,0
328,S03,13,S03E13,2,0,Manila Luzon,WIN,0,1,0,0,0
329,S03,13,S03E13,3,0,Alexis Mateo,BTM,0,1,0,0,0
330,S03,13,S03E13,4,1,Yara Sofia,BTM,0,1,1,0,0
331,S03,13,S03E13,5,0,Carmen Carrera,NA,NA,0,NA,0,0
332,S03,13,S03E13,6,0,Shangela,NA,NA,0,NA,0,0
333,S03,13,S03E13,7,0,Delta Work,NA,NA,0,NA,0,0
334,S03,13,S03E13,8,0,Stacy Layne Matthews,NA,NA,0,NA,0,0
335,S03,13,S03E13,9,0,Mariah,NA,NA,0,NA,0,0
336,S03,13,S03E13,10,0,India Ferrah,NA,NA,0,NA,0,0
337,S03,13,S03E13,11,0,Mimi Imfurst,NA,NA,0,NA,0,0
338,S03,13,S03E13,12,0,Phoenix,NA,NA,0,NA,0,0
339,S03,13,S03E13,13,0,Venus D-Lite,NA,NA,0,NA,0,0
340,S03,15,S03E15,1,0,Raja,WIN,0,1,0,1,0
341,S03,15,S03E15,2,0,Manila Luzon,HIGH,0,1,0,1,0
342,S03,15,S03E15,3,0,Alexis Mateo,BTM,1,1,0,1,0
343,S03,15,S03E15,4,1,Yara Sofia,NA,NA,0,NA,1,0
344,S03,15,S03E15,5,0,Carmen Carrera,NA,NA,0,NA,1,0
345,S03,15,S03E15,6,0,Shangela,NA,NA,0,NA,1,0
346,S03,15,S03E15,7,0,Delta Work,NA,NA,0,NA,1,0
347,S03,15,S03E15,8,0,Stacy Layne Matthews,NA,NA,0,NA,1,0
348,S03,15,S03E15,9,0,Mariah,NA,NA,0,NA,1,0
349,S03,15,S03E15,10,0,India Ferrah,NA,NA,0,NA,1,0
350,S03,15,S03E15,11,0,Mimi Imfurst,NA,NA,0,NA,1,0
351,S03,15,S03E15,12,0,Phoenix,NA,NA,0,NA,1,0
352,S03,15,S03E15,13,0,Venus D-Lite,NA,NA,0,NA,1,0
353,S04,1,S04E1,1,0,Sharon Needles,WIN,0,1,0,0,0
354,S04,1,S04E1,2,0,Chad Michaels,SAFE,0,1,0,0,0
355,S04,1,S04E1,2,0,Phi Phi O'Hara,SAFE,0,1,0,0,0
356,S04,1,S04E1,4,1,Latrice Royale,SAFE,0,1,0,0,0
357,S04,1,S04E1,5,0,Kenya Michaels,LOW,0,1,0,0,0
358,S04,1,S04E1,6,0,Dida Ritz,SAFE,0,1,0,0,0
359,S04,1,S04E1,7,0,Willam,SAFE,0,1,0,0,0
360,S04,1,S04E1,8,0,Jiggly Caliente,BTM,0,1,1,0,0
361,S04,1,S04E1,9,0,Milan,SAFE,0,1,0,0,0
362,S04,1,S04E1,10,0,Madame LaQueer,SAFE,0,1,0,0,0
363,S04,1,S04E1,11,0,The Princess,HIGH,0,1,0,0,0
364,S04,1,S04E1,12,0,Lashauwn Beyond,HIGH,0,1,0,0,0
365,S04,1,S04E1,13,0,Alisa Summers,BTM,1,1,0,0,0
366,S04,2,S04E2,1,0,Sharon Needles,SAFE,0,1,0,0,0
367,S04,2,S04E2,2,0,Chad Michaels,WIN,0,1,0,0,0
368,S04,2,S04E2,2,0,Phi Phi O'Hara,HIGH,0,1,0,0,0
369,S04,2,S04E2,4,1,Latrice Royale,HIGH,0,1,0,0,0
370,S04,2,S04E2,5,0,Kenya Michaels,HIGH,0,1,0,0,0
371,S04,2,S04E2,6,0,Dida Ritz,LOW,0,1,0,0,0
372,S04,2,S04E2,7,0,Willam,SAFE,0,1,0,0,0
373,S04,2,S04E2,8,0,Jiggly Caliente,SAFE,0,1,0,0,0
374,S04,2,S04E2,9,0,Milan,SAFE,0,1,0,0,0
375,S04,2,S04E2,10,0,Madame LaQueer,WIN,0,1,0,0,0
376,S04,2,S04E2,11,0,The Princess,BTM,0,1,0,0,0
377,S04,2,S04E2,12,0,Lashauwn Beyond,BTM,1,1,0,0,0
378,S04,2,S04E2,13,0,Alisa Summers,NA,NA,0,NA,0,0
379,S04,3,S04E3,1,0,Sharon Needles,WIN,0,1,0,0,0
380,S04,3,S04E3,2,0,Chad Michaels,HIGH,0,1,0,0,0
381,S04,3,S04E3,2,0,Phi Phi O'Hara,SAFE,0,1,0,0,0
382,S04,3,S04E3,4,1,Latrice Royale,SAFE,0,1,0,0,0
383,S04,3,S04E3,5,0,Kenya Michaels,HIGH,0,1,0,0,0
384,S04,3,S04E3,6,0,Dida Ritz,BTM,0,1,0,0,0
385,S04,3,S04E3,7,0,Willam,SAFE,0,1,0,0,0
386,S04,3,S04E3,8,0,Jiggly Caliente,SAFE,0,1,1,0,0
387,S04,3,S04E3,9,0,Milan,SAFE,0,1,0,0,0
388,S04,3,S04E3,10,0,Madame LaQueer,LOW,0,1,0,0,0
389,S04,3,S04E3,11,0,The Princess,BTM,1,1,0,0,0
390,S04,3,S04E3,12,0,Lashauwn Beyond,NA,NA,0,NA,0,0
391,S04,3,S04E3,13,0,Alisa Summers,NA,NA,0,NA,0,0
392,S04,4,S04E4,1,0,Sharon Needles,SAFE,0,1,0,0,0
393,S04,4,S04E4,2,0,Chad Michaels,SAFE,0,1,0,0,0
394,S04,4,S04E4,2,0,Phi Phi O'Hara,SAFE,0,1,0,0,0
395,S04,4,S04E4,4,1,Latrice Royale,WIN,0,1,0,0,0
396,S04,4,S04E4,5,0,Kenya Michaels,LOW,0,1,0,0,0
397,S04,4,S04E4,6,0,Dida Ritz,SAFE,0,1,0,0,0
398,S04,4,S04E4,7,0,Willam,SAFE,0,1,0,0,0
399,S04,4,S04E4,8,0,Jiggly Caliente,SAFE,0,1,0,0,0
400,S04,4,S04E4,9,0,Milan,BTM,0,1,0,0,0
401,S04,4,S04E4,10,0,Madame LaQueer,BTM,0,1,0,0,0
402,S04,4,S04E4,11,0,The Princess,NA,NA,0,NA,0,0
403,S04,4,S04E4,12,0,Lashauwn Beyond,NA,NA,0,NA,0,0
404,S04,4,S04E4,13,0,Alisa Summers,NA,NA,0,NA,0,0
405,S04,5,S04E5,1,0,Sharon Needles,HIGH,0,1,0,0,0
406,S04,5,S04E5,2,0,Chad Michaels,WIN,0,1,0,0,0
407,S04,5,S04E5,2,0,Phi Phi O'Hara,LOW,0,1,1,0,0
408,S04,5,S04E5,4,1,Latrice Royale,SAFE,0,1,0,0,0
409,S04,5,S04E5,5,0,Kenya Michaels,BTM,1,1,0,0,0
410,S04,5,S04E5,6,0,Dida Ritz,SAFE,0,1,0,0,0
411,S04,5,S04E5,7,0,Willam,HIGH,0,1,0,0,0
412,S04,5,S04E5,8,0,Jiggly Caliente,SAFE,0,1,0,0,0
413,S04,5,S04E5,9,0,Milan,BTM,0,1,0,0,0
414,S04,5,S04E5,10,0,Madame LaQueer,NA,NA,0,NA,0,0
415,S04,5,S04E5,11,0,The Princess,NA,NA,0,NA,0,0
416,S04,5,S04E5,12,0,Lashauwn Beyond,NA,NA,0,NA,0,0
417,S04,5,S04E5,13,0,Alisa Summers,NA,NA,0,NA,0,0
418,S04,6,S04E6,1,0,Sharon Needles,SAFE,0,1,0,0,0
419,S04,6,S04E6,2,0,Chad Michaels,SAFE,0,1,0,0,0
420,S04,6,S04E6,2,0,Phi Phi O'Hara,HIGH,0,1,0,0,0
421,S04,6,S04E6,4,1,Latrice Royale,HIGH,0,1,0,0,0
422,S04,6,S04E6,5,0,Kenya Michaels,NA,NA,0,NA,0,0
423,S04,6,S04E6,6,0,Dida Ritz,LOW,0,1,0,0,0
424,S04,6,S04E6,7,0,Willam,WIN,0,1,1,0,0
425,S04,6,S04E6,8,0,Jiggly Caliente,BTM,0,1,0,0,0
426,S04,6,S04E6,9,0,Milan,BTM,1,1,0,0,0
427,S04,6,S04E6,10,0,Madame LaQueer,NA,NA,0,NA,0,0
428,S04,6,S04E6,11,0,The Princess,NA,NA,0,NA,0,0
429,S04,6,S04E6,12,0,Lashauwn Beyond,NA,NA,0,NA,0,0
430,S04,6,S04E6,13,0,Alisa Summers,NA,NA,0,NA,0,0
431,S04,7,S04E7,1,0,Sharon Needles,HIGH,0,1,0,0,0
432,S04,7,S04E7,2,0,Chad Michaels,LOW,0,1,0,0,0
433,S04,7,S04E7,2,0,Phi Phi O'Hara,WIN,0,1,0,0,0
434,S04,7,S04E7,4,1,Latrice Royale,LOW,0,1,1,0,0
435,S04,7,S04E7,5,0,Kenya Michaels,NA,NA,0,NA,0,0
436,S04,7,S04E7,6,0,Dida Ritz,SAFE,0,1,0,0,0
437,S04,7,S04E7,7,0,Willam,BTM,0,1,0,0,0
438,S04,7,S04E7,8,0,Jiggly Caliente,BTM,1,1,0,0,0
439,S04,7,S04E7,9,0,Milan,NA,NA,0,NA,0,0
440,S04,7,S04E7,10,0,Madame LaQueer,NA,NA,0,NA,0,0
441,S04,7,S04E7,11,0,The Princess,NA,NA,0,NA,0,0
442,S04,7,S04E7,12,0,Lashauwn Beyond,NA,NA,0,NA,0,0
443,S04,7,S04E7,13,0,Alisa Summers,NA,NA,0,NA,0,0
444,S04,8,S04E8,1,0,Sharon Needles,BTM,0,1,0,0,0
445,S04,8,S04E8,2,0,Chad Michaels,SAFE,0,1,0,0,0
446,S04,8,S04E8,2,0,Phi Phi O'Hara,BTM,0,1,0,0,0
447,S04,8,S04E8,4,1,Latrice Royale,WIN,0,1,0,0,0
448,S04,8,S04E8,5,0,Kenya Michaels,NA,NA,0,NA,0,0
449,S04,8,S04E8,6,0,Dida Ritz,SAFE,0,1,0,0,0
450,S04,8,S04E8,7,0,Willam,WIN,1,1,0,0,0
451,S04,8,S04E8,8,0,Jiggly Caliente,NA,NA,0,NA,0,0
452,S04,8,S04E8,9,0,Milan,NA,NA,0,NA,0,0
453,S04,8,S04E8,10,0,Madame LaQueer,NA,NA,0,NA,0,0
454,S04,8,S04E8,11,0,The Princess,NA,NA,0,NA,0,0
455,S04,8,S04E8,12,0,Lashauwn Beyond,NA,NA,0,NA,0,0
456,S04,8,S04E8,13,0,Alisa Summers,NA,NA,0,NA,0,0
457,S04,9,S04E9,1,0,Sharon Needles,WIN,0,1,0,0,0
458,S04,9,S04E9,2,0,Chad Michaels,HIGH,0,1,0,0,0
459,S04,9,S04E9,2,0,Phi Phi O'Hara,LOW,0,1,1,0,0
460,S04,9,S04E9,4,1,Latrice Royale,BTM,0,1,0,0,0
461,S04,9,S04E9,5,0,Kenya Michaels,NA,NA,0,NA,0,0
462,S04,9,S04E9,6,0,Dida Ritz,BTM,1,1,0,0,0
463,S04,9,S04E9,7,0,Willam,NA,NA,0,NA,0,0
464,S04,9,S04E9,8,0,Jiggly Caliente,NA,NA,0,NA,0,0
465,S04,9,S04E9,9,0,Milan,NA,NA,0,NA,0,0
466,S04,9,S04E9,10,0,Madame LaQueer,NA,NA,0,NA,0,0
467,S04,9,S04E9,11,0,The Princess,NA,NA,0,NA,0,0
468,S04,9,S04E9,12,0,Lashauwn Beyond,NA,NA,0,NA,0,0
469,S04,9,S04E9,13,0,Alisa Summers,NA,NA,0,NA,0,0
470,S04,10,S04E10,1,0,Sharon Needles,LOW,0,1,0,0,0
471,S04,10,S04E10,2,0,Chad Michaels,HIGH,0,1,0,0,0
472,S04,10,S04E10,2,0,Phi Phi O'Hara,WIN,0,1,0,0,0
473,S04,10,S04E10,4,1,Latrice Royale,BTM,0,1,0,0,0
474,S04,10,S04E10,5,0,Kenya Michaels,BTM,0,1,1,0,0
475,S04,10,S04E10,6,0,Dida Ritz,NA,NA,0,NA,0,0
476,S04,10,S04E10,7,0,Willam,NA,NA,0,NA,0,0
477,S04,10,S04E10,8,0,Jiggly Caliente,NA,NA,0,NA,0,0
478,S04,10,S04E10,9,0,Milan,NA,NA,0,NA,0,0
479,S04,10,S04E10,10,0,Madame LaQueer,NA,NA,0,NA,0,0
480,S04,10,S04E10,11,0,The Princess,NA,NA,0,NA,0,0
481,S04,10,S04E10,12,0,Lashauwn Beyond,NA,NA,0,NA,0,0
482,S04,10,S04E10,13,0,Alisa Summers,NA,NA,0,NA,0,0
483,S04,11,S04E11,1,0,Sharon Needles,WIN,0,1,0,0,0
484,S04,11,S04E11,2,0,Chad Michaels,BTM,0,1,1,0,0
485,S04,11,S04E11,2,0,Phi Phi O'Hara,HIGH,0,1,0,0,0
486,S04,11,S04E11,4,1,Latrice Royale,BTM,1,1,0,0,0
487,S04,11,S04E11,5,0,Kenya Michaels,NA,NA,0,NA,0,0
488,S04,11,S04E11,6,0,Dida Ritz,NA,NA,0,NA,0,0
489,S04,11,S04E11,7,0,Willam,NA,NA,0,NA,0,0
490,S04,11,S04E11,8,0,Jiggly Caliente,NA,NA,0,NA,0,0
491,S04,11,S04E11,9,0,Milan,NA,NA,0,NA,0,0
492,S04,11,S04E11,10,0,Madame LaQueer,NA,NA,0,NA,0,0
493,S04,11,S04E11,11,0,The Princess,NA,NA,0,NA,0,0
494,S04,11,S04E11,12,0,Lashauwn Beyond,NA,NA,0,NA,0,0
495,S04,11,S04E11,13,0,Alisa Summers,NA,NA,0,NA,0,0
496,S04,14,S04E14,1,0,Sharon Needles,WIN,0,1,0,1,0
497,S04,14,S04E14,2,0,Chad Michaels,HIGH,0,1,0,1,0
498,S04,14,S04E14,2,0,Phi Phi O'Hara,HIGH,0,1,0,1,0
499,S04,14,S04E14,4,1,Latrice Royale,NA,NA,0,NA,1,0
500,S04,14,S04E14,5,0,Kenya Michaels,NA,NA,0,NA,1,0
501,S04,14,S04E14,6,0,Dida Ritz,NA,NA,0,NA,1,0
502,S04,14,S04E14,7,0,Willam,NA,NA,0,NA,1,0
503,S04,14,S04E14,8,0,Jiggly Caliente,NA,NA,0,NA,1,0
504,S04,14,S04E14,9,0,Milan,NA,NA,0,NA,1,0
505,S04,14,S04E14,10,0,Madame LaQueer,NA,NA,0,NA,1,0
506,S04,14,S04E14,11,0,The Princess,NA,NA,0,NA,1,0
507,S04,14,S04E14,12,0,Lashauwn Beyond,NA,NA,0,NA,1,0
508,S04,14,S04E14,13,0,Alisa Summers,NA,NA,0,NA,1,0
509,S05,1,S05E1,1,0,Jinkx Monsoon,SAFE,0,1,0,0,0
510,S05,1,S05E1,2,0,Alaska,HIGH,0,1,0,0,0
511,S05,1,S05E1,2,0,Roxxxy Andrews,WIN,0,1,0,0,0
512,S05,1,S05E1,4,0,Detox,SAFE,0,1,1,0,0
513,S05,1,S05E1,5,0,Coco Montrese,SAFE,0,1,0,0,0
514,S05,1,S05E1,6,0,Alyssa Edwards,SAFE,0,1,0,0,0
515,S05,1,S05E1,7,1,Ivy Winters,HIGH,0,1,0,0,0
516,S05,1,S05E1,8,0,Jade Jolie,LOW,0,1,0,0,0
517,S05,1,S05E1,9,0,Lineysha Sparx,HIGH,0,1,0,0,0
518,S05,1,S05E1,10,0,Honey Mahogany,SAFE,0,1,0,0,0
519,S05,1,S05E1,10,0,Vivienne Pinay,SAFE,0,1,0,0,0
520,S05,1,S05E1,12,0,Monica Beverly Hillz,SAFE,0,1,0,0,0
521,S05,1,S05E1,13,0,Serena Cha Cha,BTM,0,1,0,0,0
522,S05,1,S05E1,14,0,Penny Tration,BTM,1,1,0,0,0
523,S05,2,S05E2,1,0,Jinkx Monsoon,HIGH,0,1,0,0,0
524,S05,2,S05E2,2,0,Alaska,SAFE,0,1,0,0,0
525,S05,2,S05E2,2,0,Roxxxy Andrews,SAFE,0,1,0,0,0
526,S05,2,S05E2,4,0,Detox,SAFE,0,1,0,0,0
527,S05,2,S05E2,5,0,Coco Montrese,HIGH,0,1,0,0,0
528,S05,2,S05E2,6,0,Alyssa Edwards,HIGH,0,1,0,0,0
529,S05,2,S05E2,7,1,Ivy Winters,SAFE,0,1,0,0,0
530,S05,2,S05E2,8,0,Jade Jolie,HIGH,0,1,0,0,0
531,S05,2,S05E2,9,0,Lineysha Sparx,WIN,0,1,0,0,0
532,S05,2,S05E2,10,0,Honey Mahogany,SAFE,0,1,0,0,0
533,S05,2,S05E2,10,0,Vivienne Pinay,SAFE,0,1,0,0,0
534,S05,2,S05E2,12,0,Monica Beverly Hillz,BTM,0,1,0,0,0
535,S05,2,S05E2,13,0,Serena Cha Cha,BTM,0,1,0,0,0
536,S05,2,S05E2,14,0,Penny Tration,NA,NA,0,NA,0,0
537,S05,3,S05E3,1,0,Jinkx Monsoon,HIGH,0,1,0,0,0
538,S05,3,S05E3,2,0,Alaska,LOW,0,1,0,0,0
539,S05,3,S05E3,2,0,Roxxxy Andrews,HIGH,0,1,0,0,0
540,S05,3,S05E3,4,0,Detox,WIN,0,1,0,0,0
541,S05,3,S05E3,5,0,Coco Montrese,BTM,0,1,0,0,0
542,S05,3,S05E3,6,0,Alyssa Edwards,SAFE,0,1,0,0,0
543,S05,3,S05E3,7,1,Ivy Winters,SAFE,0,1,0,0,0
544,S05,3,S05E3,8,0,Jade Jolie,SAFE,0,1,0,0,0
545,S05,3,S05E3,9,0,Lineysha Sparx,LOW,0,1,0,0,0
546,S05,3,S05E3,10,0,Honey Mahogany,SAFE,0,1,0,0,0
547,S05,3,S05E3,10,0,Vivienne Pinay,LOW,0,1,0,0,0
548,S05,3,S05E3,12,0,Monica Beverly Hillz,BTM,1,1,0,0,0
549,S05,3,S05E3,13,0,Serena Cha Cha,NA,NA,0,NA,0,0
550,S05,3,S05E3,14,0,Penny Tration,NA,NA,0,NA,0,0
551,S05,4,S05E4,1,0,Jinkx Monsoon,HIGH,0,1,0,0,0
552,S05,4,S05E4,2,0,Alaska,SAFE,0,1,0,0,0
553,S05,4,S05E4,2,0,Roxxxy Andrews,LOW,0,1,0,0,0
554,S05,4,S05E4,4,0,Detox,SAFE,0,1,0,0,0
555,S05,4,S05E4,5,0,Coco Montrese,SAFE,0,1,0,0,0
556,S05,4,S05E4,6,0,Alyssa Edwards,WIN,0,1,0,0,0
557,S05,4,S05E4,7,1,Ivy Winters,HIGH,0,1,0,0,0
558,S05,4,S05E4,8,0,Jade Jolie,SAFE,0,1,0,0,0
559,S05,4,S05E4,9,0,Lineysha Sparx,SAFE,0,1,0,0,0
560,S05,4,S05E4,10,0,Honey Mahogany,BTM,1,1,0,0,0
561,S05,4,S05E4,10,0,Vivienne Pinay,BTM,1,1,0,0,0
562,S05,4,S05E4,12,0,Monica Beverly Hillz,NA,NA,0,NA,0,0
563,S05,4,S05E4,13,0,Serena Cha Cha,NA,NA,0,NA,0,0
564,S05,4,S05E4,14,0,Penny Tration,NA,NA,0,NA,0,0
565,S05,5,S05E5,1,0,Jinkx Monsoon,WIN,0,1,0,0,0
566,S05,5,S05E5,2,0,Alaska,HIGH,0,1,0,0,0
567,S05,5,S05E5,2,0,Roxxxy Andrews,HIGH,0,1,1,0,0
568,S05,5,S05E5,4,0,Detox,BTM,0,1,1,0,0
569,S05,5,S05E5,5,0,Coco Montrese,SAFE,0,1,0,0,0
570,S05,5,S05E5,6,0,Alyssa Edwards,SAFE,0,1,1,0,0
571,S05,5,S05E5,7,1,Ivy Winters,LOW,0,1,0,0,0
572,S05,5,S05E5,8,0,Jade Jolie,SAFE,0,1,0,0,0
573,S05,5,S05E5,9,0,Lineysha Sparx,BTM,1,1,0,0,0
574,S05,5,S05E5,10,0,Honey Mahogany,NA,NA,0,NA,0,0
575,S05,5,S05E5,10,0,Vivienne Pinay,NA,NA,0,NA,0,0
576,S05,5,S05E5,12,0,Monica Beverly Hillz,NA,NA,0,NA,0,0
577,S05,5,S05E5,13,0,Serena Cha Cha,NA,NA,0,NA,0,0
578,S05,5,S05E5,14,0,Penny Tration,NA,NA,0,NA,0,0
579,S05,6,S05E6,1,0,Jinkx Monsoon,HIGH,0,1,0,0,0
580,S05,6,S05E6,2,0,Alaska,SAFE,0,1,0,0,0
581,S05,6,S05E6,2,0,Roxxxy Andrews,HIGH,0,1,0,0,0
582,S05,6,S05E6,4,0,Detox,SAFE,0,1,1,0,0
583,S05,6,S05E6,5,0,Coco Montrese,BTM,0,1,0,0,0
584,S05,6,S05E6,6,0,Alyssa Edwards,LOW,0,1,0,0,0
585,S05,6,S05E6,7,1,Ivy Winters,WIN,0,1,0,0,0
586,S05,6,S05E6,8,0,Jade Jolie,BTM,1,1,0,0,0
587,S05,6,S05E6,9,0,Lineysha Sparx,NA,NA,0,NA,0,0
588,S05,6,S05E6,10,0,Honey Mahogany,NA,NA,0,NA,0,0
589,S05,6,S05E6,10,0,Vivienne Pinay,NA,NA,0,NA,0,0
590,S05,6,S05E6,12,0,Monica Beverly Hillz,NA,NA,0,NA,0,0
591,S05,6,S05E6,13,0,Serena Cha Cha,NA,NA,0,NA,0,0
592,S05,6,S05E6,14,0,Penny Tration,NA,NA,0,NA,0,0
593,S05,7,S05E7,1,0,Jinkx Monsoon,HIGH,0,1,0,0,0
594,S05,7,S05E7,2,0,Alaska,HIGH,0,1,1,0,0
595,S05,7,S05E7,2,0,Roxxxy Andrews,BTM,0,1,0,0,0
596,S05,7,S05E7,4,0,Detox,SAFE,0,1,0,0,0
597,S05,7,S05E7,5,0,Coco Montrese,WIN,0,1,0,0,0
598,S05,7,S05E7,6,0,Alyssa Edwards,BTM,0,1,0,0,0
599,S05,7,S05E7,7,1,Ivy Winters,LOW,0,1,0,0,0
600,S05,7,S05E7,8,0,Jade Jolie,NA,NA,0,NA,0,0
601,S05,7,S05E7,9,0,Lineysha Sparx,NA,NA,0,NA,0,0
602,S05,7,S05E7,10,0,Honey Mahogany,NA,NA,0,NA,0,0
603,S05,7,S05E7,10,0,Vivienne Pinay,NA,NA,0,NA,0,0
604,S05,7,S05E7,12,0,Monica Beverly Hillz,NA,NA,0,NA,0,0
605,S05,7,S05E7,13,0,Serena Cha Cha,NA,NA,0,NA,0,0
606,S05,7,S05E7,14,0,Penny Tration,NA,NA,0,NA,0,0
607,S05,8,S05E8,1,0,Jinkx Monsoon,HIGH,0,1,0,0,0
608,S05,8,S05E8,2,0,Alaska,WIN,0,1,0,0,0
609,S05,8,S05E8,2,0,Roxxxy Andrews,LOW,0,1,0,0,0
610,S05,8,S05E8,4,0,Detox,HIGH,0,1,0,0,0
611,S05,8,S05E8,5,0,Coco Montrese,SAFE,0,1,0,0,0
612,S05,8,S05E8,6,0,Alyssa Edwards,BTM,0,1,0,0,0
613,S05,8,S05E8,7,1,Ivy Winters,BTM,0,1,1,0,0
614,S05,8,S05E8,8,0,Jade Jolie,NA,NA,0,NA,0,0
615,S05,8,S05E8,9,0,Lineysha Sparx,NA,NA,0,NA,0,0
616,S05,8,S05E8,10,0,Honey Mahogany,NA,NA,0,NA,0,0
617,S05,8,S05E8,10,0,Vivienne Pinay,NA,NA,0,NA,0,0
618,S05,8,S05E8,12,0,Monica Beverly Hillz,NA,NA,0,NA,0,0
619,S05,8,S05E8,13,0,Serena Cha Cha,NA,NA,0,NA,0,0
620,S05,8,S05E8,14,0,Penny Tration,NA,NA,0,NA,0,0
621,S05,9,S05E9,1,0,Jinkx Monsoon,WIN,0,1,0,0,0
622,S05,9,S05E9,2,0,Alaska,HIGH,0,1,0,0,0
623,S05,9,S05E9,2,0,Roxxxy Andrews,HIGH,0,1,0,0,0
624,S05,9,S05E9,4,0,Detox,LOW,0,1,0,0,0
625,S05,9,S05E9,5,0,Coco Montrese,BTM,0,1,0,0,0
626,S05,9,S05E9,6,0,Alyssa Edwards,BTM,0,1,0,0,0
627,S05,9,S05E9,7,1,Ivy Winters,NA,NA,0,NA,0,0
628,S05,9,S05E9,8,0,Jade Jolie,NA,NA,0,NA,0,0
629,S05,9,S05E9,9,0,Lineysha Sparx,NA,NA,0,NA,0,0
630,S05,9,S05E9,10,0,Honey Mahogany,NA,NA,0,NA,0,0
631,S05,9,S05E9,10,0,Vivienne Pinay,NA,NA,0,NA,0,0
632,S05,9,S05E9,12,0,Monica Beverly Hillz,NA,NA,0,NA,0,0
633,S05,9,S05E9,13,0,Serena Cha Cha,NA,NA,0,NA,0,0
634,S05,9,S05E9,14,0,Penny Tration,NA,NA,0,NA,0,0
635,S05,10,S05E10,1,0,Jinkx Monsoon,HIGH,0,1,0,0,0
636,S05,10,S05E10,2,0,Alaska,LOW,0,1,1,0,0
637,S05,10,S05E10,2,0,Roxxxy Andrews,WIN,0,1,0,0,0
638,S05,10,S05E10,4,0,Detox,BTM,0,1,0,0,0
639,S05,10,S05E10,5,0,Coco Montrese,BTM,1,1,0,0,0
640,S05,10,S05E10,6,0,Alyssa Edwards,NA,NA,0,NA,0,0
641,S05,10,S05E10,7,1,Ivy Winters,NA,NA,0,NA,0,0
642,S05,10,S05E10,8,0,Jade Jolie,NA,NA,0,NA,0,0
643,S05,10,S05E10,9,0,Lineysha Sparx,NA,NA,0,NA,0,0
644,S05,10,S05E10,10,0,Honey Mahogany,NA,NA,0,NA,0,0
645,S05,10,S05E10,10,0,Vivienne Pinay,NA,NA,0,NA,0,0
646,S05,10,S05E10,12,0,Monica Beverly Hillz,NA,NA,0,NA,0,0
